Voltage_led (volt),Current_led (ampere),Error_voltage (volt),Error_current (ampere)
3.7016129032258065,0.0018531228551818806,0.0007994237112631503,0.0059916695551634645
3.7170967741935486,0.0009608785175017159,0.0005983389078298798,0.00939922728021511
3.7151612903225804,0.0006177076183939602,0.0002158311858168978,0.015963668427946612
3.6958064516129037,0.0018531228551818806,0.0009816260788343598,0.006985938008937972
3.6938709677419355,0.002196293754289636,0.00114298750828614,0.01163528309475576
3.69,0.0009608785175017158,0.00048207063614059655,0.014429851126674232
3.735483870967742,0.0006863417982155113,0.00025061659002752966,0.026364924828003306
3.704516129032258,0.0004118050789293068,0.00020968088286231248,0.015185293285083664
3.6880645161290326,0.002196293754289636,0.0014425882196691326,0.00713333689919228
3.712258064516129,0.002059025394646534,0.0017602730781671328,0.009371509062150936
3.7083870967741936,0.0013726835964310226,0.0007791986440597758,0.0073276236720003435
3.712258064516129,0.0028140013726835962,0.0025872445881909073,0.011285713344861895
3.6996774193548387,0.0030885380919698007,0.001746092143957189,0.01190055919077208
3.710322580645161,0.0016472203157172273,0.0012114575424272457,0.00724191752278829
3.742258064516129,0.0004804392587508579,0.0001464910601105662,0.02771378917257201
3.710322580645161,0.0002745367192862045,0.0001517558815079112,0.008058061933417291
3.689032258064516,0.0007549759780370624,0.0003752280820603231,0.011432287191399626
3.709354838709677,0.002059025394646534,0.0014613332805006919,0.009789671551931304
3.6841935483870967,0.0013040494166094716,0.0008020383501696685,0.015674233049363034
3.722903225806452,0.0009608785175017159,0.0005983389078298798,0.026445711379431695
3.7238709677419353,0.0013726835964310226,0.00040925517776248726,0.0207457228268562
3.7074193548387098,0.004598490048043926,0.002993530980921328,0.010742468261514026
3.7016129032258065,0.000549073438572409,0.0003035117630158224,0.0048387096774193845
3.705483870967742,0.0008922443376801647,0.00030779281736613385,0.011847979143359309
3.697741935483871,0.002059025394646534,0.0014755905281717775,0.012279268587531778
3.714193548387097,0.0004804392587508579,0.0002299216568547447,0.02298259758781532
3.7161290322580647,0.001098146877144818,0.0004928084929887443,0.023081992025804257
3.698709677419355,0.0017844886753603292,0.0009443956733264831,0.006255070783763001
3.7083870967741936,0.001029512697323267,0.00031117525757802435,0.014193548387096775
3.704516129032258,0.001166781056966369,0.0009490948758952887,0.015657627225176243
3.6948387096774193,0.0004804392587508579,0.0002059025394646534,0.015524141181310897
3.717096774193548,0.0012354152367879203,0.0008789463606633973,0.027915809208154754
3.714193548387097,0.0032944406314344542,0.002098804839383155,0.019451372169911434
3.695806451612903,0.0018531228551818806,0.0014141898385289949,0.01293946523879456
3.6812903225806455,0.004461221688400823,0.002049470700888688,0.01548387096774191
3.733548387096774,0.001098146877144818,0.0007670123365014966,0.02261748147478463
3.7161290322580647,0.001098146877144818,0.000471088086981789,0.01967477507351862
3.7025806451612904,0.0013726835964310226,0.0006223505151560485,0.010814873944671129
3.698709677419355,0.0004804392587508579,0.00017868336023579625,0.006735681618651978
3.7035483870967743,0.0018531228551818806,0.0014141898385289949,0.011635283094755736
3.696774193548387,0.000549073438572409,0.000419361765724625,0.009569288370446035
3.704516129032258,0.0016472203157172271,0.000787218052348902,0.007037878783635923
3.7180645161290324,0.0036376115305422102,0.00356200446313955,0.020995019477771586
3.7093548387096775,0.0013040494166094714,0.0005552350079849734,0.00764046405311417
3.704516129032258,0.001029512697323267,0.0003431708991077556,0.02069550313851022
3.701612903225807,0.0019217570350034316,0.001398371703494498,0.008442743437614454
3.7025806451612904,0.0004804392587508579,0.0002299216568547447,0.009911155803701402
3.678387096774194,0.0013040494166094716,0.0008708701125909073,0.016222310917006662
3.7112903225806453,0.0030885380919698007,0.002134536478938146,0.009810907306932593
3.6938709677419355,0.002333562113932738,0.0015043955362867621,0.0064596723853228176
3.7093548387096775,0.0017158544955387784,0.0008756650290095921,0.010896352099390067
3.7161290322580647,0.004323953328757722,0.002831801123981062,0.021591226491201945
3.7161290322580647,0.0015099519560741249,0.0013604272475239996,0.010891576139441307
3.682258064516129,0.0020590253946465337,0.0013221856121528152,0.010527205723923006
3.7074193548387098,0.0004118050789293068,0.0001517558815079112,0.012363721223701154
3.697741935483871,0.002127659574468085,0.001094566343070756,0.014601897158395149
3.697741935483871,0.0006863417982155113,0.00035442538057263017,0.012022351711989836
3.7016129032258065,0.0019903912148249827,0.0007121657477132637,0.010819683762095777
